2017/06/07 01:35:01 [error] 15096#15096: *76 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *76 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *75 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *77 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *73 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *72 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *72 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *73 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *77 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:35:02 [error] 15096#15096: *75 open() "/home/zhangyu/MyProgram/blog_one/static/css/css/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
